rank,college_code,college_name,district,composite_score,selectivity_score,academic_quality_score,branch_strength_score,institutional_quality_score,web_reputation_score,trend_score
190,4931,"Grace College of Engineering, Chandy Nagar, Mullakkadu, Thoothukudi District 628005",,48.4879,50.3445,49.2701,51.3131,28.5233,50.0,54.5833
191,5865,"Nadar Saraswathi College of Engineering and Technology, Vadupudupatti, Annanji Post, Theni District 625531",,48.4201,50.3406,49.53,52.3519,24.5814,50.0,55.4167
192,2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, Coimbatore District 641022",,48.3983,46.8823,44.5862,38.7383,77.7384,50.0,62.9167
193,4981,"Ponjesly College of Engineering, Vettornimadam Post, Nagercoil, Kanyakumari District 629003",,48.3963,49.4447,49.9128,50.6516,43.6628,50.0,26.25
194,2713,"M P Nachimuthu M Jaganathan Engineering College, Chennimalai, Erode District 638112",,48.3573,50.1886,49.7956,50.6747,28.5233,50.0,50.0
195,1121,"Sri Venkateswara Institute of Science and Technology, Kozhundalur, Thiruvallur District 631203",,48.3284,51.0894,50.8355,50.9129,19.314,50.0,50.0
196,1335,"Sri Krishna Institute of Technology, Panapakkam, Padappai, Chennai 601301",,48.3257,48.7564,47.8382,50.2045,43.6628,50.0,50.0
197,5530,"SSM Institute of Engineering and Technology, Kuttathupatti Village, Sindalaigundu Post, Dindigul District 624002",,48.318,48.5224,48.015,49.8814,54.3023,50.0,30.0
198,1437,"Rrase College of Engineering, Padappai, Kancheepuram 601301",,48.3109,50.4158,49.6215,51.4121,26.6047,50.0,50.0
199,4957,"Jayaraj Annapackiam CSI College of Engineering, Nazareth, Thoothukudi District 628617",,48.2848,47.036,46.8901,49.1738,57.8314,50.0,47.0833
200,2749,"Easa College of Engineering and Technology, NH-47, Coimbatore-Palakkad Main Road, Navakarai Post, Coimbatore District 641105",,48.2546,47.1648,49.4926,46.4058,48.1977,50.0,50.0
201,2630,"Chettinad College of Engineering and Technology, NH-67, Trichy Main Road, Puliyur C F, Karur District 639114",,48.205,48.9973,48.9935,49.1494,43.6628,51.9551,35.0
202,5988,"Theni Kammavar Sangam College of Technology, Theni Main Road, Koduvillarpatti Post, Theni District 625534",,48.2028,49.7175,48.7672,50.0375,27.2326,50.0,63.75
203,4964,"PSN College of Engineering and Technology (Autonomous),Melathediyoor, Tirunelveli-627 152",Tirunelveli,48.1958,46.096,45.6857,47.7508,77.4302,57.4624,17.5
204,1217,"Sree Sastha Institute of Engineering and Technology, Chembarambakkam, Chennai 600103",,48.1466,48.8828,48.6296,49.7619,33.1977,56.501,50.0
